
"Consider this code: <code>print(""ba"" + ""na"" * 2 + ""muffin"")</code>.  What is printed?",bana2muffin,bananamuffin,banana muffin,banabanamuffin,,,,,,,,,,,

"For which positive integers <code>n</code> does <code>n % 2</code> produce <code>1</code>?

",No positive integers,All even positive integers,All positive integers,All odd positive integers,,,,,,,,,,,

"<p>Below is an image of the Python Visualizer in action. The line with the red arrow (line 15) is about to be executed. When we press <b>Forward</b>, function <code>convert_to_minutes</code> will be called, control will move to line 11 of the code (the first line of that function), and a new stack frame will be created containing variable <code>num_hours</code>. What value will <code>num_hours</code> refer to then? (We are looking for a value, not a memory address.)</p>

<p>(If the image is too small, right-click on it and open it in a new browser tab. Then you can zoom in.)</p>



<img src=""http://www.cdf.toronto.edu/~csc108h/fall/PCRS/visualizing_fn_calls_arg.png"" width=""75%""/>",5,1,2,3,4,,,,,,,,,,

"Consider this code: <code>k = 5</code>. Select the assignment statement(s) that create a new variable <code>j</code> that refers to three times <code>k</code>‰Ûªs value.

",<code>j = k * 3</code>,<code>k + k + k = j</code>,<code>j = k + k + k</code>,<code>k * 3 = j</code>,,,,,,,,,,,

"Assuming that <code>city_to_temp</code> refers to <code>{'Toronto' : 7, 'Sydney' : 11, 'Algiers' : 19}</code>, select the expression(s) that evaluate to <code>True</code>.",<code>city_to_temp['Toronto'] &lt; city_to_temp['Sydney']</code>,<code>19 in city_to_temp</code>,<code>len(city_to_temp) == 6</code>,<code>'Algiers' in city_to_temp</code>,,,,,,,,,,,

What value does <code>abs(-5.2)</code> produce?,<code>5</code>,<code>5.0</code>,<code>5.2</code>,,,,,,,,,,,,

"To indicate the order that operations are executed when the expression <code>3 + 5 * 2</code> is evaluated, rewrite the expression using parentheses.

","<code>((3 + 5) * 2)</code>

",(3 + (5 * 2)),,,,,,,,,,,,,

"Consider this code:

<pre>def increment_values(d):

    """""" (dict with number values) -> NoneType



    Increase each value in d by 1.

    """"""

    for k in d:

        # CODE MISSING HERE</pre>

Select the missing code.

",<code>k = k + 1</code>,<code>d[k] = k + 1</code>,<code>d[k] = d[k] + 1</code>,,,,,,,,,,,,

"Consider this code:

<pre>

x = 4

y = 5

x = 2

</pre>

After the code above is executed, to which values do <code>x</code> and <code>y</code> refer?

",<code>x</code> refers to <code>4</code> and <code>y</code> refers to <code>5</code> ,<code>x</code> refers to <code>2</code> and <code>y</code> refers to <code>5</code> ,,,,,,,,,,,,,

"Algorithm 3 compares pairs of characters. For a palindrome of length <code>n</code> where <code>n</code> is even, how many comparisons are done?",<code>n // 2</code>,<code>n</code>,<code>2 * n</code>,<code>(n // 2) + 1</code>,,,,,,,,,,,

"Consider this code: 

<pre>

# Create a cash register with 0 loonies, 5 toonies, 0 fives, 0 tens,

# and 2 twenties. 

CashRegister(0, 5, 0, 0, 2) 

</pre>

 After the code above has been executed, how much cash will be in the cash register?",50 dollars,7 dollars,45 dollars,The cash register will have no money in it.,,,,,,,,,,,

"Select the return statement(s) that are appropriate for the <code>read_restaurants</code> function:

<pre>def read_restaurants(file):

    """""" (file) -> (dict, dict, dict)

    

    Return a tuple of three dictionaries based on the information in the file:

    - a dict of {restaurant name: rating%}

    - a dict of {price range: list of restaurant names}

    - a dict of {cuisine: list of restaurant names}

    """"""



    name_to_rating = {}

    price_to_names = {'$': [], '$$': [], '$$$': [], '$$$$': []}

    cuisine_to_names = {}</pre>","<code>return (name_to_rating, price_to_names, cuisine_to_names)</code>","<code>return (price_to_names, name_to_rating, cuisine_to_names)</code>","<code>print(name_to_rating, price_to_names, cuisine_to_names)</code>","<code>return name_to_rating, price_to_names, cuisine_to_names</code>",,,,,,,,,,,

"Consider this code:

<pre>

x = 4

y = x + 2

x = y + 1

</pre>

After the code above is executed, to which values do <code>x</code> and <code>y</code> refer?",<code>x</code> refers to <code>4</code> and <code>y</code> refers to <code>6</code>,<code>x</code> refers to <code>7</code> and <code>y</code> refers to <code>6</code>,<code>x</code> refers to <code>7</code> and <code>y</code> refers to <code>9</code>,,,,,,,,,,,,

Select the statement(s) that will result in a <code>SyntaxError</code>.,"<code>earthquake_greeting = ""I'm feeling a bit shaky""</code>",<code>earthquake_greeting = 'I'm feeling a bit shaky'</code>,"<code>earthquake_greeting = ""I\'m feeling a bit shaky""</code>",<code>earthquake_greeting = 'I\'m feeling a bit shaky'</code>,,,,,,,,,,,

Select the string(s) that are palindromes.,kayak,renter,rotator,redder,,,,,,,,,,,

"Consider this code:



<pre>def calculate_grade(is_elective, grade):

    """""" (bool, int) -> object



    Precondition: 0 <= grade <= 100



    is_elective refers to True iff this course is being taken as an elective.

    

    Return the grade if the course is not being taken as an elective, and

    either 'Pass' or 'Fail' (depending on whether grade is at least 50) if the

    course is an elective.

    """"""



    if is_elective and grade >= 50:

        return 'Pass'

    elif is_elective and grade < 50:

        return 'Fail'

    elif not is_elective:

        return grade</pre>



Select all of the code fragment(s) that are equivalent to the one above.","<pre>

    if is_elective:

        if grade >= 50:

            return 'Pass'

        else:

            return 'Fail'

    else:

        return grade

</pre>","<pre>

    if not is_elective:

        return grade

    else:

        if grade >= 50:

            return 'Pass'

        else:

            return 'Fail'

</pre>","<pre>

    if is_elective or grade >= 50:

        return 'Pass'

    if is_elective or grade < 50:

        return 'Fail'

    if not is_elective:

        return grade

</pre>","<pre>

    if is_elective and grade >= 50:

        return 'Pass'

    if is_elective and grade < 50:

        return 'Fail'

    if not is_elective:

        return grade

</pre>",,,,,,,,,,,

"Assuming <code>s</code> refers to <code>'kayak'</code>, select the expression(s) that produce <code>'ak'</code>.",<code>s[0:2]</code>,<code>s[len(s) // 2 + 1:]</code>,<code>s[len(s) - len(s) // 2:]</code>,<code>s[len(s) // 2:]</code>,,,,,,,,,,,

"Assuming <code>s</code> refers to <code>'kayak'</code>, select the expression(s) that produce <code>'ka'</code>.",<code>s[0:2]</code>,<code>s[:len(s) - len(s) // 2]</code>,<code>s[:len(s) // 2 + 1]</code>,<code>s[:len(s) // 2]</code>,,,,,,,,,,,

"Consider this code:

<pre>

def sum(number1, number2):

    print(number1 + number2)



result = sum(1, 3)

new_result = result + 1

</pre>



What is the outcome of executing the code above?",<code>new_result</code> refers to the value <code>5</code>,<code>TypeError</code>,,,,,,,,,,,,,

Select the expression(s) that produce True.,<code>5.73 == 9.23</code>,<code>5 &gt;= 3</code>,<code>6.0 != 6</code>,<code> 4 &lt; 9</code>,,,,,,,,,,,

Which operation does the symbol <code>//</code> represent?,multiplication,exponentiation,division,integer division,modulo (remainder),,,,,,,,,,

Select the word(s) that are Python types.,expression,int,float,real,,,,,,,,,,,

Select the expression(s) that result in a SyntaxError,<code>6 + -2</code>,<code>4 **</code>,<code>5 * (3 + 2)</code>,<code>8 / (3 / (2 / 3)))</code>,,,,,,,,,,,

Which operation does the symbol <code>**</code> represent?,multiplication,division,integer division,exponentiation,modulo (remainder),,,,,,,,,,

"We have a spreadsheet file that we've opened and assigned to f:



<code>f = open('budgie_budget.csv')</code>



Consider this code fragment:

<pre>

for line in f:

    print(line)

    f.readline()

</pre>



Which description best matches this code fragment?

",prints only the first line,prints every line except the first,prints all lines,prints every second line,,,,,,,,,,,

Which of the following is not a legal variable name in Python?,<code>TRIANGLEAREA</code>,<code>triangle's_area</code>,<code>triangle_area2</code>,<code>triangle_area</code>,,,,,,,,,,,

"Consider this code:

<pre>

>>> z = 5

>>> y = z + 1

>>> z = 10

</pre>

After these statements execute, which of the following describes the values that <code>z</code> and <code>y</code> point to?",<code>z</code> points to <code>5</code> and <code>y</code> points to <code>6</code>,<code>z</code> points to <code>10</code> and <code>y</code> points to <code>11</code>,<code>z</code> and <code>y</code> both point to memory addresses,<code>z</code> points to <code>10</code> and <code>y</code> points to <code>6</code>,,,,,,,,,,,

"What value does <code>max(3, 4 + 5)</code> produce?",<code>3</code>,<code>4</code>,<code>5</code>,<code>4 + 5</code>,<code>9</code>,,,,,,,,,,

"Consider the function described by the following docstring:

<pre>

def is_above_freezing(temperature, unit):

    """""" (float, str) -> bool

        

    Return True iff temperature is above the freezing point of water as measured

    in unit.  unit can be one of 'kelvin', 'celsius', or 'fahrenheit'.

    """"""

</pre>  

Which test case factor would be most appropriate to consider when choosing test cases for this function?

<br>","Size, because ""kelvin"", ""celsius"", and ""fahrenheit"" all have different lengths.","Dichotomies, because of absolute zero.","Boundaries, because each of the three units should be tested at the freezing point of water.","Order, because ""kelvin"", ""celsius"", and ""fahrenheit"" are not in alphabetical order.",,,,,,,,,,,

"Consider this code:



<code>teams = [['Canadiens', 'Leafs', 'Senators'], ['Jets'], ['Oilers', 'Canucks']]</code>



Select the expression(s) that will <em>not</em> evaluate to 5.

",<code>len(teams[0]) + len(teams[-1])</code>,"<code>len(teams[0] + teams[2])</code>

",<code>len(teams) - 1</code>,<code>len(teams[0][1])</code>,,,,,,,,,,,

"Consider this code: 

<pre>age = input(""How old are you? "")</pre>



After the code above has been executed and the user types <code>12</code> followed by Enter/Return, what type of value does variable <code>age</code> refer to?",<code>bool</code>,<code>float</code>,<code>str</code>,<code>int</code>,,,,,,,,,,,

"Roughly how many times is the assignment statement <code>sum = sum + i</code> executed?

<pre>

sum = 0

for i in range(k * k):

    sum = sum + i

</pre>",1,4,k/2,k,10k,k<sup>2,,,,,,,,,

"Consider this function call:

<pre>print(""Strings are fun!"", ""Don't you think?"")

</pre>



What is printed by this function call?",<pre>Strings are fun! Don't you think?</pre>,"<pre>""Strings are fun!Don't you think?""</pre>",<pre>Strings are fun!Don't you think?</pre>,"<pre>""Strings are fun! Don't you think?""</pre>",,,,,,,,,,,

"Consider this code:

<pre>

cuisine_to_names = {

    'Canadian': ['Georgie Porgie'],

    'Pub Food': ['Georgie Porgie', 'Deep Fried Everything'],

    'Malaysian': ['Queen St. Cafe'],

    'Thai': ['Queen St. Cafe'],

    'Chinese': ['Dumplings R Us'],

    'Mexican': ['Mexican Grill']}

</pre>

Select the expression(s) that produce <code>'Georgie Porgie'</code>.",<code>cuisine_to_names['Canadian'][0]</code>,<code>cuisine_to_names['Pub Food'][0]</code>,<code>cuisine_to_names['Pub Food'][1]</code>,<code>cuisine_to_names['Canadian']</code>,,,,,,,,,,,

"Given a list of 100,000 items, the binary search algorithm eliminates 50,000 items with one comparison.  How many items would linear search have to examine to reach the same point?",1,"50,000","100,000",50,,,,,,,,,,,

Which of the following is <b>not</b> a special method of <code>object</code>?,<code>__eq__</code>,<code>__ne__</code>,<code>__str__</code>,<code>__lower__</code>,,,,,,,,,,,

"Consider this code:

<pre>

price_to_names = {

    '$': ['Queen St. Cafe', 'Dumplings R Us', 'Deep Fried Everything'],

    '$$': ['Mexican Grill'],

    '$$$': ['Georgie Porgie'],

    '$$$$': []}

</pre>

Select the expression(s) that produce a list containing one string.",<code>price_to_names['$']</code>,<code>price_to_names['$$']</code>,<code>price_to_names['$$$']</code>,<code>price_to_names['$$$$']</code>,,,,,,,,,,,

"List <code>[6, 8, 2, 1, 1, 9, 4]</code> is being sorted using insertion sort. Select the the option that corresponds to each pass in insertion sort.","<pre>

[6, 8, 2, 1, 1, 9, 4]

[6, 8, 2, 1, 1, 9, 4]

[2, 6, 8, 1, 1, 9, 4]

[1, 2, 6, 8, 1, 9, 4]

[1, 1, 2, 6, 8, 9, 4]

[1, 1, 2, 6, 8, 9, 4]

[1, 1, 2, 4, 6, 8, 9]

</pre>","<pre>

[1, 8, 2, 6, 1, 9, 4]

[1, 1, 2, 6, 8, 9, 4]

[1, 1, 2, 6, 8, 9, 4]

[1, 1, 2, 4, 8, 9, 6]

[1, 1, 2, 4, 6, 9, 8]

[1, 1, 2, 4, 6, 8, 9]

[1, 1, 2, 4, 6, 8 ,9]

</pre>","<pre>

[6, 2, 1, 1, 8, 4, 9]

[2, 1, 1, 6, 4, 8, 9]

[1, 1, 2, 4, 6, 8, 9]

[1, 1, 2, 4, 6, 8, 9]

[1, 1, 2, 4, 6, 8, 9]

[1, 1, 2, 4, 6, 8, 9]

</pre>",,,,,,,,,,,,

"The list [4, 2, 5, 6, 7, 3, 1] is shown below after each pass of a sorting algorithm:

<pre>

[4, 2, 5, 6, 7, 3, 1]

[2, 4, 5, 6, 7, 3, 1]

[2, 4, 5, 6, 7, 3, 1]

[2, 4, 5, 6, 7, 3, 1]

[2, 4, 5, 6, 7, 3, 1]

[2, 3, 4, 5, 6, 7, 1]

[1, 2, 3, 4, 5, 6, 7]

</pre>

Which sorting algorithm is being executed?",bubble sort,selection sort,insertion sort,,,,,,,,,,,,

Select the expression(s) that produce True.,<code>'I' in 'smiles'</code>,<code>'mile' in 'smiles'</code>,<code>'smiles' in 'smiles'</code>,<code>'limes' in 'smiles'</code>,,,,,,,,,,,

"Consider this code:

<pre>

digits = '0123456789'

result = 0



for digit in digits:

    result = digit



print(result)

</pre>



What is printed by the code above?",<code>45</code>,<code>0123456789</code>,<code>0</code>,<code>9</code>,,,,,,,,,,,

"We've put our code for inverting a dictionary into a function.



<pre>def invert_dictionary(d):

    """""" (dict) -> dict



    Precondition:  PRECONDITION(S) MISSING HERE



    Return a new dictionary where the keys in the new dictionary are the values from

    d, and the values are lists of the keys that are associated with those values from d.

   

    >>> invert_dictionary({""cherry"": ""red"", ""pomegranate"": ""red""})

    {""red"": [""cherry"", ""pomegranate""]}

    """"""

    ...</pre>

Select the appropriate precondition(s) for this function.",<code>d</code> has no duplicate values,<code>d</code>'s values are mutable,<code>d</code>'s values are immutable,<code>len(d) > 0</code>,,,,,,,,,,,

"Consider this code:

<pre>

animal_to_locomotion = {'fish' : ['swim'],

                        'kangaroo' : ['hop'],

                        'frog' : ['swim', 'hop']}
